edad,2015TII,2015TI,2014TIV,2014TIII,2014TII,2014TI,2013TIV,2013TIII,2013TII,2013TI,2012TIV,2012TIII,2012TII,2012TI,2011TIV,2011TIII,2011TII,2011TI,2010TIV,2010TIII,2010TII,2010TI,2009TIV,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI
16-19,66.49,68.93,63.28,62.91,68.71,68.25,74.85,70.69,68.75,75.26,72.95,71.28,72.97,71.05,69.19,61.47,63.92,64.08,62.37,58.95,60.59,58.92,56.78,53.12,56.7,52.73,44.69,35.53,35.22,28.5,26.76,22.93,24.2,21.99,25.44,19.8,25.22,25.66,23.47,22.04,26.26,26.7
20-24,46.49,49.25,49.27,50.16,50.79,53.66,51.56,50.09,53.61,55.57,52.58,48.43,49.87,50.08,46.18,43.16,44.4,43.49,40.35,36.84,38.55,39.03,36.66,35.24,34.94,31.48,25.3,19.8,17.79,16.49,13.37,12.53,12.06,11.67,10.67,11.88,12.46,14.23,13.91,12.69,14.67,16.09
25-29,28.89,30.06,30.25,28.54,30.27,33.41,33.93,33.26,34.65,36.02,34.55,33.69,33.35,32.32,28.25,26.75,26.25,27.62,26.3,25.11,25.44,26.93,24.66,23.63,22.25,22.8,17.84,13.93,11.66,10.12,7.96,7.5,6.64,7.79,8.12,7.57,7.64,8.45,8.68,8.63,9.26,9.83
30-34,20.7,23.12,22.45,22.25,23.18,24.82,25.31,25.01,24.96,27.11,27.22,24.85,24.65,24.35,22.73,20.94,20.47,20.71,19.72,18.45,19.16,19.66,17.7,17.09,17.19,16.42,12.35,9,8.05,6.42,6.04,5.33,5.53,5.67,5.5,5.67,6.18,5.75,6.42,5.43,6.19,6.33
35-39,17.72,19.72,18.8,18.71,19.95,21.63,20.32,21.21,21.36,22.29,20.8,20.3,20.67,21.01,19.1,17.91,17.07,17.5,16.7,16.92,16.45,16.83,16.85,15.92,15.71,15.5,10.87,8.45,6.97,6.46,5.18,4.84,4.89,5.71,4.7,4.99,5.18,5.18,4.88,5.02,5.74,6.62
40-44,15.35,17.57,18.43,17.88,19.44,20.94,20.44,21.32,21.27,22.63,22.28,20.68,20.55,19.29,19.42,17.66,17.42,17.17,16.5,16.59,16.95,16.66,15.66,14.28,14.63,14,10.59,8.06,7,5.6,4.94,4.39,4.71,4.89,4.66,4.61,4.68,5.04,4.04,4.88,5.13,5.26
45-49,17.56,19.14,19.31,19.39,21.07,22.54,21.59,22,22.45,22.69,20.89,20.58,20.53,19.81,17.79,16.8,16.02,16.2,14.57,14.13,14.56,15.25,13.8,12.47,13.33,13.47,9.86,7.98,7.05,6.12,5.71,4.73,4.15,3.94,4.02,3.66,3.7,4.77,4.51,4.27,4.3,5.5
50-54,18.3,19.53,19.43,18.68,19.98,21.35,21.23,20.49,20.23,21.29,19.61,20.09,19.59,18.84,17.23,15.83,15.46,15.51,15.27,13.65,14.5,14.53,13.24,11.94,11.28,10.37,8.33,6.77,6.21,5.96,5.47,4.28,4.53,4.82,4.05,3.55,4.03,4.51,4.4,4.21,5.43,5.03
55-59,19.54,20.91,22.56,21.55,21.94,21.9,21.2,20.63,21.36,21.07,19.76,18.95,18.31,18.66,17.84,15.88,14.98,14.83,15.41,15.31,14.82,14.59,12.65,11.94,11.64,10.3,7.92,6.27,6.68,5.71,5.48,5.13,4.88,4.73,4.53,4.94,4.96,6.04,5.5,5.05,6.46,5.92
60-64,16.1,16.82,16.6,16.5,16.7,19.15,18.71,19.22,17.82,18.83,17.43,16.25,16.3,15.95,15.26,14.16,14.31,13.89,14.88,13.07,13.63,11.44,12.3,10.63,10.98,9.54,6.93,6.72,5.25,5.53,5.19,4.44,4.98,5.04,4.7,4.12,5.08,4.69,5.37,4.71,6.49,5.91
65-69,4.15,4.75,7.24,3.19,2.68,7.28,8.27,8.42,7.23,8.81,4.86,4.91,6.29,4.82,2.14,0.44,0.19,2.12,2.77,3.7,6.67,3.67,8.47,2.56,2.51,1.99,2.35,0.82,3.23,0.92,0.77,0.24,2.01,2.64,3.28,1.3,2.28,2.03,2.02,3.84,1.91,1.53
70,3.23,0,3.89,3.56,3.11,0,0.62,1.2,0,0,0,0,0,0.66,0,2.27,2.03,5.16,2.95,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1.19,0,0,0.27,1.22,0.27,1.73,0,0.68
